-,22/07/2015,21:52:09,innocent,172.30.100.222,,,DC++ 0.825,51.54 GiBs,A,0.005
-,22/07/2015,21:52:09,1730aaa,172.30.100.113,,,DC++ 0.843,259.60 GiBs,P,1
+,22/07/2015,21:52:17,qwerty123,172.30.127.141,,,DC++ 0.851,40.84 GiBs,P,0.005
+,22/07/2015,21:52:43,PrasadaRao,172.30.100.159,,,DC++ 0.831,116.90 GiBs,P,0.005
+,22/07/2015,21:52:51,machp,172.30.101.68,,,DC++ 0.843,221.11 GiBs,A,1000
+,22/07/2015,21:53:06,Tony_St@rk,172.30.100.160,Always Cool,,DC++ 0.843,772.53 GiBs,A,0.005
+,22/07/2015,21:53:33,ChanandlerBONG,172.30.120.243,,,DC++ 0.75,295.01 GiBs,A,1
+,22/07/2015,21:54:28,Hellboy,172.30.120.109,,,DC++ 0.831,108.96 GiBs,P,0.005
+,22/07/2015,21:54:47,confused,172.30.100.109,,,DC++ 0.843,82.95 GiBs,P,0.005
-,22/07/2015,22:06:50,ChanandlerBONG,172.30.120.243,,,DC++ 0.75,295.01 GiBs,A,1
+,22/07/2015,22:08:39,ChanandlerBONG,172.30.120.243,,,DC++ 0.75,295.01 GiBs,A,1
-,22/07/2015,22:11:25,ChanandlerBONG,172.30.120.243,,,DC++ 0.75,295.01 GiBs,A,1
