+,19/05/2015,23:00:07,NAYAK,172.30.149.36,,,DC++ 0.850,88.30 GiBs,P,0.005
+,19/05/2015,23:00:09,rpnv,172.30.125.68,,,DC++ 0.802,22.16 GiBs,P,0.005
+,19/05/2015,23:00:19,Diehard4,172.30.141.125,,,DC++ 0.843,92.13 GiBs,A,0.005
+,19/05/2015,23:00:28,Rooney,172.30.136.88,,,DC++ 0.843,151.08 GiBs,P,1
+,19/05/2015,23:00:29,kkk,172.30.137.116,,,DC++ 0.843,136.53 GiBs,P,0.005
+,19/05/2015,23:00:34,ASHUTOSH-pc,172.30.140.161,,,DC++ 0.828,34.15 GiBs,P,0.005
+,19/05/2015,23:00:50,luffy,172.30.144.104,,,DC++ 0.802,149.25 GiBs,P,0.005
+,19/05/2015,23:01:03,naniiiii,172.30.146.232,,,ApexDC++ 1.6.0,144.46 GiBs,P,0.1
+,19/05/2015,23:01:13,naveen,172.30.144.139,,,ApexDC++ 1.5.14,45.25 GiBs,P,0.1
+,19/05/2015,23:01:27,pras_@,172.30.141.46,,,DC++ 0.831,74.13 GiBs,P,0.005
+,19/05/2015,23:02:02,NAGINDRA,172.30.148.63,,,DC++ 0.799,23.16 GiBs,P,0.005
+,19/05/2015,23:04:33,sshhhhhhhhh,172.30.120.177,,,DC++ 0.831,28.80 GiBs,A,0.005
-,19/05/2015,23:06:16,sshhhhhhhhh,172.30.120.177,,,DC++ 0.831,28.80 GiBs,P,0.005
+,19/05/2015,23:07:21,sshhhhhhhhh,172.30.120.177,,,DC++ 0.831,28.80 GiBs,A,0.005
-,19/05/2015,23:09:43,sshhhhhhhhh,172.30.120.177,,,DC++ 0.831,28.80 GiBs,P,0.005
-,19/05/2015,23:09:55,NAYAK,172.30.149.36,,,DC++ 0.850,88.30 GiBs,P,0.005
+,19/05/2015,23:12:42,sshhhhhhhhh,172.30.120.177,,,DC++ 0.831,28.80 GiBs,A,0.005
-,19/05/2015,23:13:07,sshhhhhhhhh,172.30.120.177,,,DC++ 0.831,28.80 GiBs,A,0.005
+,19/05/2015,23:13:08,sshhhhhhhhh,172.30.120.177,,,DC++ 0.831,28.80 GiBs,P,0.005
-,19/05/2015,23:16:20,sshhhhhhhhh,172.30.120.177,,,DC++ 0.831,28.80 GiBs,P,0.005
