-,21/05/2015,10:53:10,pras_@,172.30.141.46,,,DC++ 0.831,74.13 GiBs,P,0.005
-,21/05/2015,10:53:10,NAGINDRA,172.30.148.63,,,DC++ 0.799,23.16 GiBs,P,0.005
-,21/05/2015,10:53:24,ASHUTOSH-pc,172.30.140.161,,,DC++ 0.828,34.15 GiBs,P,0.005
-,21/05/2015,10:53:26,rpnv,172.30.125.68,,,DC++ 0.802,22.16 GiBs,P,0.005
-,21/05/2015,10:53:26,Diehard4,172.30.141.125,,,DC++ 0.843,92.13 GiBs,A,0.005
-,21/05/2015,10:53:26,Rooney,172.30.136.88,,,DC++ 0.843,151.08 GiBs,P,1
-,21/05/2015,10:53:26,kkk,172.30.137.116,,,DC++ 0.843,136.53 GiBs,P,0.005
-,21/05/2015,10:53:26,luffy,172.30.144.104,,,DC++ 0.802,149.25 GiBs,P,0.005
-,21/05/2015,10:53:26,naniiiii,172.30.146.232,,,ApexDC++ 1.6.0,144.46 GiBs,P,0.1
-,21/05/2015,10:53:26,naveen,172.30.144.139,,,ApexDC++ 1.5.14,45.25 GiBs,P,0.1
+,21/05/2015,10:53:35,pras_@,172.30.141.46,,,DC++ 0.831,74.13 GiBs,P,0.005
+,21/05/2015,10:54:48,VenkateswarluV,172.20.23.129,,,DC++ 0.843,72.59 GiBs,P,0.005
+,21/05/2015,10:55:48,naniiiii,172.20.21.75,,,ApexDC++ 1.6.0,144.46 GiBs,P,0.1
+,21/05/2015,10:55:53,naveen,172.30.144.139,,,ApexDC++ 1.5.14,45.25 GiBs,P,0.1
+,21/05/2015,11:02:47,sshhhhhhhhh,172.30.120.177,,,DC++ 0.831,28.80 GiBs,A,0.005
+,21/05/2015,11:05:34,gun4,172.30.140.125,,,DC++ 0.851,257.38 GiBs,A,1000
-,21/05/2015,11:06:49,sshhhhhhhhh,172.30.120.177,,,DC++ 0.831,28.80 GiBs,P,0.005
+,21/05/2015,11:06:50,sshhhhhhhhh,172.30.120.177,,,DC++ 0.831,28.80 GiBs,P,0.005
+,21/05/2015,11:07:11,#@&!,172.30.137.55,---0009,,DC++ 0.828,86.59 GiBs,A,100
+,21/05/2015,11:07:41,lol,172.30.123.103,,,DC++ 0.831,70.34 GiBs,A,0.005
-,21/05/2015,11:07:50,#@&!,172.30.137.55,---0009,,DC++ 0.828,86.59 GiBs,A,100
-,21/05/2015,11:13:22,sshhhhhhhhh,172.30.120.177,,,DC++ 0.831,28.80 GiBs,P,0.005
