+,18/07/2015,17:48:49,YOGESH,172.30.136.186,,,DC++ 0.843,60.55 GiBs,P,1000
+,18/07/2015,17:49:29,1730aaa,172.30.125.145,,,DC++ 0.843,259.60 GiBs,P,1
+,18/07/2015,17:50:04,theFlash,172.30.125.158,,,DC++ 0.843,28.01 GiBs,P,50
+,18/07/2015,17:50:45,vinay,172.30.122.158,,,DC++ 0.851,30.65 GiBs,P,0.005
-,18/07/2015,17:53:53,vinay,172.30.122.158,,,DC++ 0.851,30.65 GiBs,P,0.005
+,18/07/2015,18:02:33,chaitkrrish,172.30.125.113,,,StrgDC++ 2.41,29.91 GiBs,P,0.01
-,18/07/2015,18:03:56,chaitkrrish,172.30.125.113,,,StrgDC++ 2.41,29.91 GiBs,P,0.01
-,18/07/2015,18:08:45,YOGESH,172.30.136.186,,,DC++ 0.843,60.55 GiBs,P,1000
-,18/07/2015,19:25:34,1730aaa,172.30.125.145,,,DC++ 0.843,259.60 GiBs,P,1
+,18/07/2015,19:25:42,1730aaa,172.30.125.145,,,DC++ 0.843,259.60 GiBs,P,1
-,18/07/2015,19:26:00,theFlash,172.30.125.158,,,DC++ 0.843,28.01 GiBs,P,50
+,18/07/2015,19:27:43,theFlash,172.30.125.158,,,DC++ 0.843,28.01 GiBs,P,50
+,18/07/2015,19:28:03,YOGESH,172.30.136.186,,,DC++ 0.843,60.55 GiBs,P,1000
-,18/07/2015,19:29:19,theFlash,172.30.125.158,,,DC++ 0.843,28.01 GiBs,P,50
+,18/07/2015,19:31:56,theFlash,172.30.126.206,,,DC++ 0.843,28.01 GiBs,P,50
+,18/07/2015,19:43:03,proxyyyy,172.30.125.195,,,DC++ 0.811,37.97 GiBs,A,0.005
