-,23/05/2016,00:16:31,loll,172.30.105.252,,,DC++ 0.843,34.40 GiBs,P,0.005
-,23/05/2016,00:16:31,sith,172.30.100.185,,,DC++ 0.851,112.77 GiBs,A,0.005
-,23/05/2016,00:16:31,sam,172.30.135.147,,,DC++ 0.851,0.00 KiBs,A,0.005
-,23/05/2016,00:16:31,1730aaa,172.30.104.205,,,DC++ 0.851,0.00 KiBs,P,1
-,23/05/2016,00:16:45,maggi12345,172.30.125.51,,,ApexDC++ 1.6.0,165.23 GiBs,P,0.1
-,23/05/2016,00:16:47,chaitkrrish101,172.30.126.212,,,StrgDC++ 2.41,54.62 GiBs,P,0.01
+,23/05/2016,00:16:53,sith,172.30.100.185,,,DC++ 0.851,112.77 GiBs,A,0.005
+,23/05/2016,00:16:54,maggi12345,172.30.125.51,,,ApexDC++ 1.6.0,165.23 GiBs,P,0.1
+,23/05/2016,00:17:03,loll,172.30.105.252,,,DC++ 0.843,34.40 GiBs,P,0.005
+,23/05/2016,00:17:23,1730aaa,172.30.104.205,,,DC++ 0.851,0.00 KiBs,P,1
+,23/05/2016,00:17:45,dhoni,172.30.100.169,,,DC++ 0.825,105.84 GiBs,P,200000 KiB/s
+,23/05/2016,00:18:23,slvr,172.20.40.99,,,DC++ 0.851,25.74 GiBs,P,0.005
+,23/05/2016,00:19:04,sam,172.30.135.147,,,DC++ 0.851,0.00 KiBs,A,0.005
-,23/05/2016,00:20:13,maggi12345,172.30.125.51,,,ApexDC++ 1.6.0,165.23 GiBs,P,0.1
