-,24/07/2015,10:21:33,machp,172.30.101.68,,,DC++ 0.843,221.11 GiBs,A,1000
+,24/07/2015,10:23:23,machp,172.30.101.68,,,DC++ 0.843,222.81 GiBs,A,1000
+,24/07/2015,10:24:17,confused,172.30.100.109,,,DC++ 0.843,83.23 GiBs,P,0.005
-,24/07/2015,12:07:02,confused,172.30.100.109,,,DC++ 0.843,83.23 GiBs,P,0.005
-,24/07/2015,12:07:14,machp,172.30.101.68,,,DC++ 0.843,222.81 GiBs,A,1000
+,24/07/2015,12:07:17,confused,172.30.100.109,,,DC++ 0.843,83.23 GiBs,P,0.005
+,24/07/2015,12:08:04,username,172.30.100.90,,,DC++ 0.843,108.33 GiBs,A,0.005
+,24/07/2015,12:08:27,machp,172.30.101.68,,,DC++ 0.843,222.81 GiBs,A,1000
+,24/07/2015,12:09:38,qwerty,172.30.102.111,,,ApexDC++ 1.5.14,24.69 GiBs,P,0.1
-,24/07/2015,12:16:55,username,172.30.100.90,,,DC++ 0.843,108.33 GiBs,A,0.005
+,24/07/2015,12:17:24,horror,172.30.101.17,,,DC++ 0.843,21.42 GiBs,A,0.005
-,24/07/2015,12:17:54,horror,172.30.101.17,,,DC++ 0.843,21.42 GiBs,P,0.005
+,24/07/2015,12:18:00,kamalsingh,172.30.102.34,,,DC++ 0.830,79.83 GiBs,A,0.005
+,24/07/2015,12:20:53,DOM,172.30.101.17,,,ApexDC++ 1.6.0,83.31 GiBs,A,0.1
+,24/07/2015,12:21:59,COMPUTER,172.30.102.55,,,DC++ 0.843,105.49 GiBs,A,0.005
-,24/07/2015,12:22:08,COMPUTER,172.30.102.55,,,DC++ 0.843,105.49 GiBs,A,0.005
-,24/07/2015,12:22:10,kamalsingh,172.30.102.34,,,DC++ 0.830,79.83 GiBs,P,0.005
