+,21/07/2015,00:01:59,hiddenman,172.30.100.150,,,DC++ 0.75,30.68 GiBs,A,0.005
-,21/07/2015,00:56:59,Hellboy,172.30.120.109,,,DC++ 0.831,120.18 GiBs,P,0.005
-,21/07/2015,00:56:59,1730aaa,172.30.100.113,,,DC++ 0.843,259.60 GiBs,P,1
-,21/07/2015,00:56:59,mnbvcxzzh,172.30.125.180,123,,DC++ 0.843,54.64 GiBs,P,0.005
-,21/07/2015,00:56:59,lazy,172.30.100.193,,,DC++ 0.843,56.22 GiBs,P,0.005
-,21/07/2015,00:56:59,hiddenman,172.30.100.150,,,DC++ 0.75,30.68 GiBs,A,0.005
+,21/07/2015,00:57:18,qwerty,172.30.124.243,,,ApexDC++ 1.5.14,24.69 GiBs,P,0.1
+,21/07/2015,00:58:31,Hellboy,172.30.120.109,,,DC++ 0.831,105.49 GiBs,P,0.005
+,21/07/2015,00:58:51,1730aaa,172.30.100.113,,,DC++ 0.843,259.60 GiBs,P,1
+,21/07/2015,01:08:33,nikhil,172.30.142.92,,,DC++ 0.830,177.50 GiBs,P,1
-,21/07/2015,01:08:46,nikhil,172.30.142.92,,,DC++ 0.830,177.50 GiBs,P,1
-,21/07/2015,09:44:38,qwerty,172.30.124.243,,,ApexDC++ 1.5.14,24.69 GiBs,P,0.1
-,21/07/2015,09:44:38,Hellboy,172.30.120.109,,,DC++ 0.831,105.49 GiBs,P,0.005
-,21/07/2015,09:44:38,1730aaa,172.30.100.113,,,DC++ 0.843,259.60 GiBs,P,1
+,21/07/2015,09:45:18,Tony_St@rk,172.30.100.160,Always Cool,,DC++ 0.843,772.21 GiBs,A,0.005
+,21/07/2015,09:45:35,1730aaa,172.30.100.113,,,DC++ 0.843,259.60 GiBs,P,1
+,21/07/2015,09:46:44,qwerty,172.30.124.243,,,ApexDC++ 1.5.14,24.69 GiBs,P,0.1
-,21/07/2015,17:52:34,qwerty,172.30.124.243,,,ApexDC++ 1.5.14,24.69 GiBs,P,0.1
-,21/07/2015,17:52:48,Tony_St@rk,172.30.100.160,Always Cool,,DC++ 0.843,772.21 GiBs,A,0.005
-,21/07/2015,17:52:48,1730aaa,172.30.100.113,,,DC++ 0.843,259.60 GiBs,P,1
+,21/07/2015,17:53:10,1730aaa,172.30.100.113,,,DC++ 0.843,259.60 GiBs,P,1
+,21/07/2015,17:53:43,Jiraya,172.30.100.223,,,DC++ 0.830,117.00 GiBs,P,0.005
+,21/07/2015,17:54:09,confused,172.30.100.109,,,DC++ 0.843,82.95 GiBs,P,0.005
+,21/07/2015,18:05:46,chidori,172.30.128.91,,,DC++ 0.843,132.75 GiBs,A,0.005
-,21/07/2015,18:07:38,chidori,172.30.128.91,,,DC++ 0.843,132.75 GiBs,P,0.005
-,21/07/2015,22:49:59,1730aaa,172.30.100.113,,,DC++ 0.843,259.60 GiBs,P,1
-,21/07/2015,22:49:59,Jiraya,172.30.100.223,,,DC++ 0.830,117.00 GiBs,P,0.005
-,21/07/2015,22:49:59,confused,172.30.100.109,,,DC++ 0.843,82.95 GiBs,P,0.005
+,21/07/2015,22:50:37,innocent,172.30.100.222,,,DC++ 0.825,51.54 GiBs,A,0.005
+,21/07/2015,22:51:24,1730aaa,172.30.100.113,,,DC++ 0.843,259.60 GiBs,P,1
+,21/07/2015,22:52:05,machp,172.30.101.68,,,DC++ 0.843,197.44 GiBs,A,1000
+,21/07/2015,22:54:50,nikhil,172.30.142.92,,,DC++ 0.830,177.50 GiBs,P,1
-,21/07/2015,22:59:33,nikhil,172.30.142.92,,,DC++ 0.830,177.50 GiBs,P,1
-,21/07/2015,23:03:45,machp,172.30.101.68,,,DC++ 0.843,197.44 GiBs,A,1000
