-,23/05/2015,10:35:08,pras_@,172.30.141.46,,,DC++ 0.831,74.13 GiBs,P,0.005
-,23/05/2015,10:35:08,VenkateswarluV,172.20.23.129,,,DC++ 0.843,75.77 GiBs,P,0.005
-,23/05/2015,10:35:08,naniiiii,172.20.21.75,,,ApexDC++ 1.6.0,144.46 GiBs,P,0.1
-,23/05/2015,10:35:08,naveen,172.30.144.139,,,ApexDC++ 1.5.14,45.25 GiBs,P,0.1
-,23/05/2015,10:35:08,gun4,172.30.140.125,,,DC++ 0.851,257.38 GiBs,P,1000
-,23/05/2015,10:35:08,lol,172.30.123.103,,,DC++ 0.831,70.34 GiBs,P,0.005
+,23/05/2015,10:41:16,123123123,172.30.151.24,,,DC++ 0.843,278.85 GiBs,A,0.005
-,23/05/2015,10:41:30,123123123,172.30.151.24,,,DC++ 0.843,278.85 GiBs,A,0.005
+,23/05/2015,10:43:14,NIT,172.30.101.102,,,DC++ 0.843,20.44 GiBs,A,0.005
+,23/05/2015,10:47:28,Krishna,172.30.136.181,,,DC++ 0.810,26.86 GiBs,A,0.005
-,23/05/2015,10:47:53,Krishna,172.30.136.181,,,DC++ 0.810,26.86 GiBs,A,0.005
+,23/05/2015,10:57:57,manu,172.30.143.90,,,DC++ 0.843,188.03 GiBs,A,0.005
-,23/05/2015,11:01:27,manu,172.30.143.90,,,DC++ 0.843,188.03 GiBs,P,0.005
+,23/05/2015,11:22:16,huhahihi,172.20.44.124,,,DC++ 0.770,51.72 GiBs,A,0.005
+,23/05/2015,11:23:01,johncena,172.30.144.42,,,StrgDC++ 1.00 RC10,47.34 GiBs,A,Modem
-,23/05/2015,11:23:20,johncena,172.30.144.42,,,StrgDC++ 1.00 RC10,47.34 GiBs,A,Modem
-,23/05/2015,11:28:00,huhahihi,172.20.44.124,,,DC++ 0.770,51.72 GiBs,A,0.005
